Video ID,Author,Comment
PvlhJPtEstA,@orakulli,lesh tre
PvlhJPtEstA,@andibleta4769,lajme vari lesht lajme per nje bandit japin lajme per social kanal koti fare
PvlhJPtEstA,@suzanafezga655,quhen zjusha po mesuese
PvlhJPtEstA,@pellumbllanaj4543,poktas bullizim shum tjera qe perdorin politikanet gazeraret
PvlhJPtEstA,@arjanhysa887,perralla mbret ndarja ciftit metamonika bejn sepse doli boja eshte nje loj per shpetuar lekuren politike sepse jan karta djegura
PvlhJPtEstA,@devisdigirolamo4465,hip ketu shikosh stambollinhokej
PvlhJPtEstA,@lirivata1620,dashur atdhetar ngruhuni shporrni keta hajdut kriminel genjeshtar
PvlhJPtEstA,@gertikonomi2234,topchenell kurrvash
PvlhJPtEstA,@toninvuka76,mir moj mesuese fjala okej eshte shqip fjala shqip eshte dakort jo okej
PvlhJPtEstA,@75luani,o duhet tju vrasin fare ju grave shkatrruat familjet
PvlhJPtEstA,@Gege9966,ilir meta nana korrupsionin
PvlhJPtEstA,@bujarbraka3436,o ilir muta o super injorantemier toka shqiptare qe mbanse populli do
WDk0jy-CiLs,@nikolamuzic1432,është pseftomanis aktiv
WDk0jy-CiLs,@arturalixhepi,ma beri enveri dore une injorova pak delirante
WDk0jy-CiLs,@luliosmani6830,bravo avokat vertete askush
WDk0jy-CiLs,@marianavivanco4152,cifut
WDk0jy-CiLs,@fitimkeca2430,po kush beson ket mut ky është cop llafazan
WDk0jy-CiLs,@user-zs8qv5vb1w,avokat ne diktature ku avokati atehere babai ja solli at rregjimta gezonin sic gezuan
WDk0jy-CiLs,@user-kc4ke5ej5j,borgjezia diktatoriale ne disfate
WDk0jy-CiLs,@user-ir3hb5rs5g,keqen agjent qeverisë
WDk0jy-CiLs,@flamurzhitia7007,berisha pdpslsi klysht moskovit serrbogreqie
WDk0jy-CiLs,@flamurzhitia7007,rrespekt spartak ngjela
WDk0jy-CiLs,@user-dq4zm7dd1f,o taku po ri thu gojore sprint
WDk0jy-CiLs,@timidullaj6735,grida problem vetvetenash ba asht lekurnga inatetsmiraas deputeteas gazetareatje mbyll syrinktu mbyll intuiten
WDk0jy-CiLs,@aidaqoshja9488,oooooky ashte madh
