Comment,Label
vetum bajmi ni krahsim enver hoxhen nat koh shu veshtirdhe edi ramen ky medel shpijn vuqiqit,0
bravo respekt,0
gjergjo paske hik per lesh harapi dhjefsha drejtesine rames felaj kompania vidh mashtro popullin se lekure po vetem rripeni qe behet patronazhiste ty gjergj,1
cfare behet o njerez cfare llozhura mbeturina plehra shqiperiaartani shume drejtepor ai eshte nje sahan lepiresi beleritnuk njeri tjeter per kryetare bashkisekush eshte beleritpo himarjotet jane koke gomari egoistedhe mendojne se ato qe thote belerit do beje gjithapor ai qe ishte perpara vodhi kaq shumesa imagjinojne asnjenjerinuk ndonje djale rrite zgjuar shkollusreme kulturese nevoje bregu per njerez pasterjo hajdute jo genjeshtareeee,1
ndrek luca,0
bravo sako kv qershi vola fare korce,0
bravo vëlla zoti bekoft,0
fuksi enver hoxhës,1
ahoxha gjithe ata tjeret ci jane aty shpifin emisionin tyre bajne vetem per leke shpifura,0
greqise tha qe kur do na mbaroje buka hap kufijte se do vdesim urija sa per armet do perdoren kundra greqise por qe vritemi njeri tjetrin keshtu ndodhi,0
bravoooo tan hoxha o vlla do le vlora himarennuk trembet ky miu ne duare pista do bejm akoma pista per kta kelysha ky plerai bejm duarte pis krenari per himaren tone bukur,0
ke drejte zoteri enveri qenë burr jo kta maskarenjte qe shiten shqiperine,1
o dy për burg meta berisha,0
pano petllat ujë,0
kurxha jon dy vite pak jon dymbdhe osht dasht mbain,0
gjergj luca ooo burre bjer ne karremin antinacionalisteve antimalsoreve ma shkurte antigegeve qe do thote antirranjve tuaburrin madhe artit kultures shqiptare ndrek lucen njofte personalishtedhe shume sigurt qe babai yte dashte ma shume sali berishen se sa ty,0
qenka shoku xhaxhit enver,0
urime zoti avokat,0
ore shkerdhatat qmendur kafshet brina qelbesirat evropes degjeneruemit ndjenja njerzore grit vrat dogjet po vdisni uria po ju vjen fundi shkerdhat mjer,1
anet tona thuhet mir beri enveri qe shpalli mehmetin armik pas vdekjes,0
lezetshem,0
sali berisha futur ne sherr prinderit femijet eshte pafalshme ky eshte kulmi poshtersi se marrofte zoti marrofte keq se marruar sali berisha eshte perbindesh,1
mjr popull kush po drejton cdo gja esht shum djers,0
ai eshte nje kokerr maskarai seshte njeri njeri se mbeshtesin ne himare njelloj siç eshte berisha,1
avokati llafazan mashtrues ish sigurims spiun,1
ishte burr shteti ai,0
lumte goja shumë tjer duhet rëfehet ju gjergji lucaqë kan frikë ky monster,1
